Idx,Locality,Industry,Start,Title,Company,Prev Company,Post
pub-rashmi-bhagnari-19-296-286,"Boston y alrededores, Estados Unidos",Information Technology and Services,abril de 2011,Project Lead,everis,Deloitte,"5 years experience working for top clients including Sovereign-Santander, American Red Cross, Pfizer, Wyeth, Correos(Spanish National Postal System), Iberbanda (Grupo Telefonica).Solid understanding and experience with Software Development Life Cycle (SDLC) methodologies, writing BusinessRequirements Document (BRD), Functional Requirements Document (FRD), Use Case Specifications, Test Cases,Systems Design Specification, creating Business Process & Data Flow Diagrams.Participated in multiple RFP (Request for Proposal)."
pub-ravi-kiran-9-97-81,"Hyderabad Area, India",Information Technology and Services,April 2011,Manager - Talent Acquisition,Prokarma Softech,Deloitte,"• Result oriented professional with 9+ years of experience in Recruitments (IT & ITES)• Proficiency in steering the Business Unit TA functions from both strategic and tactical perspective ensuring full compliance & meeting expectations.• A keen planner, strategist & implementer with demonstrated abilities.. Operations to drive business growth.• Experience in Leading and managing a Team.• Imparting Induction program for New Recruits.• Experience in global hiring."
pub-ray-johnson-12-754-208,"Sydney Area, Australia",Information Technology and Services,December 2010,Regional Sales Manager - Australia,Concur Technologies,Ernst & Young,CAREER OBJECTIVES & COMMITMENTTo be able to drive the sales and account management effectiveness and ultimate success of an innovative corporate brand in an organisation that excels in the delivery of customer satisfaction under the guidance of visionary management.
pub-ray-zuniga-6-494-a06,Greater Los Angeles Area,Entertainment,October 2010,Senior Accountant - N.A. Music,Live Nation,Ernst & Young,"Audit Experience:•	Evaluated accounting processes and concluded on effectiveness of financial reporting processes. Prepared process control recommendations to improve operational efficiency, address areas of financial statement risk, and better control the flow and security of data. Communicated internal control findings with engagement executives and client upper management, including CFO, Controller and SEC Reporting Manager.•	Coordinated preparation and review of Forms 10-Q, 10-K, and S-1 SEC filings with attorneys and client. Actively involved in reviewing filing drafts, making changes to language and figures.•	Initiated meetings with clients to discuss audit issues and apprised partners/sr. managers of new developments.•	Participated in firm-wide technology change by converting various engagements to new audit platform, and implementing new audit strategies for year-end audits in accordance with GAAP.•	Assessed audit objectives, risks and proposed controls approach for the audit work-plan by evaluating the business environment, including market, business, and accounting risks.•	Challenged prior year assessments in order to increase effectiveness and efficiency, utilizing firm methodology.•	Responsible for maintaining budget, and managing field work.•	Gained proficient audit experience in Technology, and Consumer Business Industries."
pub-rebecca-brodie-39-803-616,"Melbourne Area, Australia",Internet,August 2012,Co-founder and Director,tinitrader.com.au,Ernst & Young,"After 13 years in corporate advisory, Rebecca has recently left Ernst & Young to follow her dreams and start her own business with friend and former colleague Kerri Turner.Rebecca is a Director of tinitrader.com.au, Australia's number one classifieds website for finding, buying and selling products for babies, toddlers and kids.Prior to establishing tinitrader.com.au, Rebecca was a Director in the Mergers & Acquisitions practice of Ernst & Young Transaction Advisory Services. She has also worked Ernst & Young’s Transaction Support team."
pub-rebecca-whatley-2b-562-ba6,Greater New York City Area,Apparel & Fashion,November 2009,Tax Senior,Warnaco,Deloitte,"Experience in various areas including, but not limited to: capital and operating budgets, financial analysis/planning, financial statements and reporting, accounting policies and procedures, cash flow, taxes, auditing, and business process improvements."
pub-redha-faraj-b-980-5a0,Bahrain,Management Consulting,September 2001,Chairman,Al Faraj Consulting WLL,Ernst & Young,"One of the leaders of Bahrain's corporate development, Redha has been active on the island's economic scene for over 40 years. A senior executive with proven leadership skills gained from managing some of the largest companies in the Kingdom. He is a highly sought after consultant and professional advisor to major corporates in the GCC and around the world for his effectiveness as a communicator at all levels within an organization, his innovative and analytical skills."
pub-reema-bagh-12-36a-8b0,"Hyderabad Area, India",Human Resources,April 2012,HR Lead,MAQ Software,Deloitte,"HR generalist for the past 4 years 6 months through various industries such as Retail, Finance and IT. In all my roles I have been involved in designing and implementing HR initiatives to build credibility of the function in start-up and ramp-up phases. I have proven ability to scale and manage multiple geographies in a distributed environment.Specialities:Talent acquisitionInductionTraining and DevelopmentPerformance managementCompensation and benefitsEmployee engagementProgressive policy creationNegotiation skillsTeam building"
pub-reema-kotecha-10-154-186,"London, United Kingdom",Management Consulting,May 2010,Manager,Alpha Financial Markets Consulting,Deloitte,"A strategy consultant specialising in Investment and Asset Management. My client experience includes global operating model change, outsourcing, systems implementation and benchmarking. I have undertaken project lead, test management and change/training roles within these clients."
pub-refet-arel-24-77b-67a,"London, United Kingdom",Real Estate,June 2006,Financial Controller,Consensus Business Group,Ernst & Young,Qualified accountant at E&Y LLP (ACCA)Currently studying CTA
pub-renaud-pellet-b-702-28,Argentina,Gestión de organizaciones sin ánimo de lucro,June 2010,Líder de Servicios - Entrepreneur Services,Endeavor Argentina,Deloitte,"My experience as a management consultant brought me significant background in project management (from project definition to implementation).I have been working with medium to big international, public and private companies, in various industries (banking, utilities, software, ...).I have developped strong adaptation skills as well as a pronounced interest for overall analysis. I am keen on turning analysis into valuable projects or products.I am now looking for new opportunities in Latin America.My field of search is broad since I am sure my tastes can be met in all kind of jobs from project management to business development or sales and marketing."
pub-renee-stormes-26-54-2b6,"Greater Grand Rapids, Michigan Area",Accounting,July 2008,State Tax Manager,Rehmann,Ernst & Young,"I have worked in public accounting since 2001 with experience in state and local tax consulting, with an emphasis in manufacturing. I provide corporate services to both medium and large sized clients as well as non-traditional services including corporate tax consulting. My areas of expertise include nexus studies, voluntary disclosures, technical memorandums, implementations of business structure changes and tax compliance engagements.Rehmann is a fully integrated financial services firm of CPAs, wealth managers and investigators dedicated to providing clients proactive ideas and solutions to help them prosper professionally and personally. We offer a team approach that gives our clients direct access to a specialist in any of our services."
pub-renÃ©-neuner-6-795-827,"Zürich Area, Switzerland",IT und Services,November 2010,Business Unit Manager,Zühlke Group,KPMG,"Highly experienced consulting professional.Mainly working together with top management, higher mid management and senior project leaders.Leading and working with large international teams and with other experienced senior consulting professionals.Seeking projects to define and implement IT enabled business changes.Available für IT Assessements, Reviews and Audits."
pub-ricardo-daniel-fisch-19-896-231,Argentina,Contabilidad,octubre de 2009,Consultor independiente,servicios de asesoramiento tributario,KPMG,"Profesional con una sólida trayectoria en Consultoría Tributaria (local e internacional), adquiridas en corporaciones y estudios de asesoramiento/auditoria de primer nivel. Interés en el asesoramiento tributario de organizaciones/grupos empresarios."
pub-ricardo-lagorio-3a-13-847,Argentina,Servicios jurídicos,abril de 2012,Jefe de Impuestos,Weatherford,KPMG,"Contador Público con experiencia en la práctica de Impuestos de empresas comerciales, industriales, laboratorios, etc. Al haber desarrollado toda mi carrera en una de las denominadas ""big four"" (a la actualidad casi 8 años) fui adquiriendo una metodología de trabajo la cual hace hincapie en el detalle, el profesionalismo y la responsabilidad.Si bien tengo experiencia en la liquidación de impuestos nacionales, provinciales y municipales, en la actualidad mi tarea está orientada al análisis de temas impositivos, confección de informes citando jurisprudencia administrativa y respuestas a consultas respecto a la gravabilidad de alguna nueva actividad que tenga en vista efectuar una Compañía o la correspondencia de beneficios fiscales para una correcta planificación fiscal."
pub-ricardo-martinez-2-903-6a4,Peru,Minería y metalurgia,June 2011,HR Corporate Manager-Perú,HOCHSCHILD MINING,Ernst & Young,HR Senior executive with broad experience in design and implementation of human capital strategies as support of change management processes and the key business goals. Strong LATAM experience in start-ups’ and restructuring initiatives in multi-national/ multi-cultural organizations.
pub-richard-briffa-cpa-mba-cgma-59-262-304,Greater New York City Area,Financial Services,1994,Managing Director - Support Services Finance,Morgan Stanley,Ernst & Young,"Results driven financial executive with demonstrated accomplishments in financial planning, analysis, reporting & control, expense management and strategic cost efficiency initiatives. Expertise in cost reduction, strategic re-engineering, sourcing & organization redesign. Excels in strategic planning with proven ability to identify and capitalize on opportunities to maximize profits, streamline operations and reduce expenses. Creative problem solver, big picture thinker and outstanding communicator. Proven leader, business partner & team builder"
pub-richard-cooper-25-813-598,Greater Boston Area,Accounting,November 2010,Transfer Pricing Senior Manager,"Staples, Inc.",Ernst & Young,Associate Chartered Accountant (ACA) and member of the Institute of Chartered Accountants in England and Wales (ICAEW).
pub-richard-duan-29-857-827,"Beijing City, China",Automotive,February 2009,Internal Audit Manager,BMW,Ernst & Young,"- Internal audit manager with commercial and Big 4 experience for 9+ years (CPA, CIA)- Strong finance background with proficiency in accounting and reporting under IFRS, US GAAP as well as PRC GAAP- High level of analytical and investigative capabilities- Strong communication and interpersonal skills- Proficiency in both spoken and written English"
pub-richard-howse-22-509-841,"Brisbane Area, Australia",Oil & Energy,July 2011,Chief Financial Officer,Murphy Pipe & Civil,Ernst & Young,20 years Finance / Oil & Gas industry experienceChief Financial OfficerChartered AccountantChartered Tax Adviser
pub-richard-sherlock-21-60-b89,"London, United Kingdom",Oil & Energy,November 2011,Junior Consultant,Venture Information Management,Deloitte,"I am a dynamic and versatile individual with an excellent academic record that I am willing to extend into my career. Coming from a Geological background I am keen use the key skills I have learned and transfer them into a high energy environment. Through modules at university and working for the petroleum services at Deloitte I have gained valuable work experience into the oil, gas and the natural resource industry as a whole."
pub-richard-williams-b-108-97,China,Security and Investigations,May 2008,Partner,Deloitte & Touche FAS,Deloitte,"Richard specialises in the use of technology to assist clients solve complex business issues. In this regards he has considerable experinece in electronic discovery, and can provide assistance in scoping, project management and overall cost control on these matters.Richard's has worked on many high profile cases in Australia, China, Japan, Korea and the EU, developing a close working relationship with his clients and a deep understanding of the issues at hand.His experience also includes complex computer forensics investigations and data analytic investigations leading to the provision of expert evidence in legal proceedings.Prior to relocating to China, Richard worked for Telstra Limited (Australia), within the Corporate Security &Investigations team where he provided advice and assistance on litigation and discovery matters. Richardwas also the primary liaison person for law enforcement bodies in Australia and represented Telstra onvarious law enforcement committees.In 2008 Richard spent 3 months in Europe leading a team of forensic technology specialists on an FCPAinvestigation. Mindful of data protection laws in Europe, the team integrated seamlessly with US FCPAlawyers and investigators to a successful outcome.Prior to moving into the corporate world, Richard was a Police Officer for 13 years in the New South Walesand Australia Federal Police. During this time Richard worked in numerous specialist sections of the PoliceService, including the computer forensic investigation group."
pub-rick-miller-11-49-453,"Houston, Texas Area",Oil & Energy,June 2011,Managing Director,Trenegy Incorporated,Deloitte,"Rick Miller has over 20 years of experience as a financial management professional with a specialization within the oil and gas industry. Experience includes core finance functions, performance management, financial reporting systems and post-merger finance integration experience. Rick is a seasoned consultant responsible for business development, solution delivery, and development of people.Experience:Oil and Gas Finance – Extensive upstream energy experience including: oil & gas revenue accounting, joint interest accounting and international exploration & production accounting. Rick has 12 years experience within Texaco’s Global Upstream Finance Organization, now Chevron.Planning, Budgeting & Forecasting – Transformed the planning and forecasting processes at several companies by providing guidance, leading practice processes, and knowledge of best in class technologies such as Hyperion Planning, BPC and Cognos.Financial Close & Consolidation – Improved the speed, accuracy and transparency of the financial close and consolidation processes through developing and implementing leading practice processes and technologies at several large companies.Integrated Performance Management – Developed performance management frameworks that link clients' overall vision and strategies to the supporting information and reporting needs.Performance Management Systems – Facilitated the technology package selection and implementation with leading business intelligence companies based upon business performance management requirements.Finance Merger Integration – Led the effective and timely integration of the finance organization of several large merger and acquisitions."
pub-riddhi-kaul-4-b4a-a56,"Mumbai Area, India",Management Consulting,January 2011,Consultant,Accenture,KPMG,"I've worked in the media & entertainment, energy, infrastructure and financial services verticals in the areas of strategic planning, entry & growth strategies, process improvement and cost optimization for large private clients, as well as government companies."
pub-rikesh-raichura-12-0-46,"Southall, United Kingdom",Food & Beverages,February 2011,"Senior Administrator, Business Performance Systems",First Quantum Minerals LTD,KPMG,Qualifications:	FCCAExams completed June 1998 (All first time passes)
pub-rob-bako-5-935-959,San Francisco Bay Area,Accounting,September 2007,Tax Director,PricewaterhouseCoopers LLP,KPMG,"Dedicated tax CPA with 12 years of experience in working collaboratively with companies in developing and managing various aspects of corporate taxation around the world including income tax strategies, compliance, tax accounting, audits, transfer pricing, federal and state taxation and other indirect taxes. Also have special expertise in developing income tax process and ensuring compliance with Sarbanes-Oxley controls."
pub-robbie-leemans-8-419-26b,"Breda Area, Netherlands",Financiële services,December 2011,Junior Manager,Mazars,KPMG,-
pub-robert-bradfield-1-449-846,"Hemel Hempstead, United Kingdom",Banking,June 2010,Managing Principal,Capco,Ernst & Young,"20 years of experience in the Banking and Financial Services market sectors.11 years within Fixed Income sales, trading and banking operations9 years on the service side as vendor and consultantSignificant Capital Markets, Investment and Retail Bank experience driving large-scale performance improvement and business change across payments and transaction processing."
pub-robert-hellen-14-720-a16,United Kingdom,Insurance,June 2008,Senior Treasury Manager,Aviva plc,KPMG,Chartered accountant - ACA - admitted to membership in 1998AMCT - associate member Association of Corporate TreasurersCompleted leadrship programme at AvivaPassed MCT advanced Diploma in Treasury June 2011
pub-robert-hicks-14-954-b82,"London, United Kingdom",Financial Services,July 2011,Senior Associate - UK Banking Group,FSA,Deloitte,"An experienced Financial Services Industry professional, with strong risk and regulation focus gained most recently working on projects a variety of UK banks.I have developed strong client focus, most recently through working as a consultant for Deloitte. I worked on a number of projects, from forensic investigations, to capital efficiency at Lloyds and post merger integration support at both ABN and HBOS.Previously, I was a banking supervisor with the FSA. My experience included day-to-day responsibility for a portfolio of international banks, building societies and financial advisers; undertaking on-site firm Risk Assessments through the FSA’s ARROW process; and a secondment to Barclays’ Credit Risk Measurement team. At the FSA I was involved in developing ad-hoc reporting to analyse the systemic consequences of the crisis at Northern Rock.Prior to joining the FSA my previous experience had been in Risk reporting and Operations roles in Investment and Commercial Banking, which included project work on the integration of the credit risk database into the Client ID process at Credit Suisse."
pub-robert-kroon-39-61-449,"The Hague Area, Netherlands",Financiële administratie,January 2001,"Bedrijfsadviseur, hoofd boekhouding, fiscalist",van Ettinger Administraties en Belastingen B.V.,Ernst & Young,"Op zoek naar een sparringpartner? Een boekhouder die meer doet dan alleen maar een jaarrekening maken? Ik denk mee over de strategie van uw bedrijf en geef financieel en fiscaal inzicht in uw plannen.Ik vind het geweldig als mensen hun droom kunnen realiseren. De route naar succes zit echter vol administratieve en fiscale valkuilen. Door ondernemers te begeleiden in dit proces behoed ik ze daarvoor. Een geslaagde financieringsvraag, een goed verlopen procedure met de belastingdienst, maar ook het stroomlijnen van een administratie, daar haal ik mijn voldoening uit.Ik maak graag optimaal gebruik van de mogelijkheden die moderne software mij biedt. Door administratieve processen te automatiseren zorg ik ervoor dat ingevoerde gegevens optimaal omgezet kunnen worden in nuttige informatie."
pub-robert-obudho-40-1b3-a38,Kenya,Information Technology and Services,September 2011,IT Auditor,Central Bank of Kenya,KPMG,"- Certified Information Systems Auditor- Certified Oracle Database AdministrationCAREER OBJECTIVE- Work for an organization that is forward moving, has solid performance and future projections.- Add value and continue to grow the organization.- To use the skills developed during my education and leadership period to serve the"
pub-robert-renner-19-273-b49,"San Antonio, Texas Area",Accounting,November 2011,Job Cost Accountant,"Southern Folger, LLC",Ernst & Young,"I am a working college student who will graduate in May 2013 with a BBA in Accounting and Finance. I will pursue an MBA at The University of Texas upon completion of my undergraduate degrees. Currently, I am an Accounting Intern and have experience with QuickBooks® Accounting and ProSeries® Tax Software. Additionally, I provide marketing and computer networking services for local business and install home office computer networks for individuals, in and around San Antonio.My goal is to become a CPA who specializes in external auditing of public financial statements. Eventually, I plan to lead an advisory group, offering information risk and assurance services to my valued clients."
pub-roberto-miguel-8-49b-aa4,"São Paulo Area, Brazil",Contabilidade,November 2011,Cotton Controller,Empresa Interagrícola S.A.,KPMG,"• Strong experience in auditing, internal audit tasks, risk management and forensic projects and implementation of the Sarbanes-Oxley Law.• Experience in perform audits in accordance with generally accepted accounting principles in Brazil (“Brazilian GAAP”) of manufacturing and consumer segments;• Perform audits of foreign companies in accordance with generally accepted accounting principles in the United States (“U.S. GAAP) and additional regulations of the U.S. Securities Exchange Commission (“SEC”);• Experience in reconciliation of balances between Brazilian GAAP and U.S. GAAP;• Audit and assist the customers on preparation of IPO prospectus (Initial Public Offering) and Secondary Offering to raise funds in the American market (rule 144A and ADS);• Experience in evaluation and identification of procedures of internal control;• Experience in internal audit of telecommunications enterprises;• International experience with internal audit manager of TIM Peru S.A.C.;• Experience in perform works of audit based in CoSO model for evaluation of internal controls system;"
pub-robin-kinard-cpa-25-636-8a5,"Houston, Texas Area",Accounting,2011,Tax Recruiter,SNI Financial,Ernst & Young,"Tax Recruiter for Houston, TXThe Company:SNI Companies was founded in 1998 and was recently named one of the fastest growing private staffing companies in the country by Staffing Industry Analysts. Operating in more than 30 branch locations, SNI has presence in major markets such as Chicago, Houston, Philadelphia, Dallas, Miami, Boston, and Washington D.C.SNI Companies has several divisions in Houston that specialize in professional placement in the areas of tax, accounting & finance (SNI Financial), administration (Staffing Now), and technology (SNI Technology). SNI also has a contract and project-based resource division (Accounting Now), which assists our clients by providing them bright and talented professionals when they are in immediate need of finance and accounting help.The Candidate:The tax division specializes in placing Tax Staff, Tax Seniors, Tax Managers and Tax Directors in Public and Industry positions.The Client:The tax division assists our clients in their hiring needs in the areas of Federal, State and International Tax Compliance, FAS 109, FIN 48, Sales and Property tax, and Tax Research and Planning positions."
pub-robin-xiao-b-844-247,China,Retail,January 2012,Tax Manager,TESCO China,KPMG,"Robin is enthusiastic for tax related work. He is a PRC Certified Tax Agent, has a good knowledge of PRC corporate taxes and individual income tax laws and regulations, as well as the corresponding compliance requirements and local practices. He has a basic knowledge of Hong Kong and Singapore income tax, be familiar with U.S. FAS109 and FIN48, etc. He is familiar with industry markets, especially pharmaceutical, manufacturing and retail industry."
pub-rodgers-mavhiki-13-57b-183,"Johannesburg Area, South Africa",Financial Services,August 2009,Consolidation Accountant,MIH Holdings Limited,KPMG,IFRS expert with a wealthy of experience in complex consolidations.Rodgers is a members of SAICA's Accounting Practices Committee
pub-rodrigo-azeredo-18-303-236,"Rio de Janeiro Area, Brazil",Segurança e investigações,September 2012,Senior Manager - Fraud Investigation and Dispute Services,Ernst & Young Terco,PwC,"Rodrigo Azeredo is the Manager responsible to the Forensic Service in PwC Rio de Janeiro, with over nine years of experience on complex investigations of fraud, misconduct and corruption.Prior to joining PwC on May 2011, Rodrigo worked for five years on the State Police of Rio de Janeiro mostly on the Intelligence Department. Then he joined Dannemann Siemsen law firm and during three years he worked as Investigations Case Manager at Business Integrity Department of Shell Brasil in Latin America.Rodrigo conducted several investigations of corporate breaches in Latin America, such as protection of assets, antitrust and competition, intellectual property, conflict of interest as well as fraud allegations related to anti-corruption legislation. Additionally, he was involved in the implementation of compliance programs, performing risk assessments and reputational due diligences, managing whistleblower’s hotlines, forensic data analysis and facilitating investigations and fraud prevention training courses.With a strong international experience, Rodrigo made part of FCPA audits in Brazil, Mexico and United States; he attended training courses in France, the Advanced Techniques of Interviewing and Interrogation in the US, FCPA Auditing in England; he also facilitated  trainings of Basic Investigation Techniques and Skills in Brazil and Venezuela.He graduated in Law at Universidade Federal do Rio de Janeiro – UFRJ and held an MBA in International Businesses at Fundação Getúlio Vargas – FGV/RJ. He is fluent in English and Spanish."
pub-rodrigo-de-pinho-garcia-33-3b1-aa1,"São Paulo, São Paulo, Brasil",Contabilidade,setembro de 2011,Gerente Contábil,Opinião Assessoria Contábil,KPMG,Supervisão/Coordenação de Equipe contábil interno e externo e/ou matriz/filiais; Relatórios de Suportes para a Diretoria e Usuários Interessados;Revisão de conciliação e fechamento de balanços;Interpretação e orientação da implementação da Lei 11.628 e suas alterações;Conscientização dos funcionários da empresa para a implantação do SPED contábil e NFe;Acompanhamento de Budget;Instruções de análise e controle de Budget para os demais departamentos;Controle e Análise de Centros de Custos e Resultados;Revisão de Cofins/Pis/CSSL/IRPJ/ISS/IPI/ICMS-ST e ICMS; Atendimento a fiscais e clientes internos/externos; Acompanhamento do Tranfer Princing;Conhecimentos em USGAAP e IFRS; tendimento a clientes internacionais;Conhecimentos em folha de pagamento;Implantanção de Sistemas ERP;Suporte para parametrização de sistemas ERP;Conhecimentos em Custos;Conhecimentos em Controladoria;Conhecimentos em Controles Internos(SOX).
pub-rodrigo-flores-bazÃ¡n-57-895-503,Perú,Marketing y publicidad,noviembre de 2012,Marketing Assistant,Euromotors S.A. / Audi Perú,KPMG,"Estudiante de La Universidad San Ignacio de Loyola, Facultad de Marketing, con visiones internacionales. Soy una persona sociable, proactiva que le gusta el trabajo y nuevas experiencias, tomando con responsabilidad y liderazgo todas las labores asignadas, tengo facilidad de adaptación a situaciones difíciles y trabajo bajo presión."
pub-rodrigo-freire-faÃ§anha-2a-b55-a62,"São Paulo, São Paulo, Brasil",Consultoria de gerenciamento,março de 2012,Consultor de Auditoria Interna (Semi-Sênior),PwC Consulting,Deloitte,"Perfil Profissional Desenvolvido:	Facilidade de aprendizado, buscando sempre apresentar melhorias e sugertões aos trabalhos desenvolvidos;	Capacidade de me adaptar a diferentes equipes, por participar de auditoria em diversos clientes;	Capacidade de trabalhar sob pressão;	Trabalho em equipe."
pub-rodrigo-gioielli-bastos-14-598-71b,"Barueri, São Paulo, Brazil",Terceirização e offshoring,March 2003,IT Senior Consultant,PricewaterhouseCoopers Outsourcing,PwC,"Experienced at working in fast-paced and demanding environmentsHighly trustworthy, ethical and discreetCommitted to providing superior customer serviceDetail-oriented and resourceful in completing projectsAbility to solve problems using my customer service experienceAbility to multi-task effectivelyInformation Technology Advanced Knowledge:"
pub-roelof-kuik-15-8b4-179,Netherlands,Makelaardij,June 2003,directeurbestuurder,Thús Wonen,Deloitte,working at several levels of goverment offices; enviromental planning&design&housing/planning&real estate
pub-roger-lehman-6-303-7b4,Dallas/Fort Worth Area,Aviation & Aerospace,April 1999,Partner,Oliver Wyman,Ernst & Young,"Head of Oliver Wyman's global Aviation, Aerospace and Defense practice - Six yearsPartner at Oliver Wyman in Aviation, Aerospace and Defense - Thirteen years totalErnst and Young LLP and Price Waterhouse LLP advising aviation clients - Eight years"
pub-rohan-menon-ca-38-414-4a7,"Toronto, Canada Area",Accounting,July 2012,"Manager, Finance",Brookfield Asset Management,Ernst & Young,"Financial Statement audits of Canadian public and private companies in real estate, hospitality, automotive, private equity, gaming, manufacturing."
pub-rohan-narayen-54-878-a74,"San Francisco, California",Management Consulting,September 2011,Associate Consultant,Bain & Company,Deloitte,"I graduated from UC Berkeley with a dual degree in Economics and Statistics. I am currently an Associate Consultant with Bain & Company. I have a deep interest in the technology industry, both from a professional and personal perspective.Skills:Significant experience with Excel and PowerPoint. Some experience with statistical modeling (using R and STATA), databases (Access and SQL) and basic HTML. I am always open to learning new technologies."
pub-rohini-roy-40-62b-bb6,"Bengaluru Area, India",Information Technology and Services,November 2010,Sr Specialist Technology Assurance,Target Corporation,KPMG,"6.5 Years of cumulative experience in Information Security Compliance and AuditIT Infrastructure audits - Wireless Network Infrastructre, Content Filtering,SQL etcExperience in Security Configuration reviews, Change & Patch Managment, Back up and restoration,Audit logging and monitoring,Vulnerability management,High availability, Capacity Managment,Job Scheduling and Abends monitoring processSAS 70/SSAE 16 reviewsITGC SOX Legacy and SOX SAPDriving ISO 27001 Re-Certification & Surveillance Audit for IBM across business unit.Preparing Information Security Policy, ISMS Certification Scope, ISMS Implementation Scope, Baseline Information Risk Management report.Risk Assessment/Management, Vulnerability Assessment, Vulnerability scanning, Port scanning and Penetration Testing.Data Security & Privacy proactive reviews & IT Security Compliance testing on ISO27001 ISMS standards.Facing client security audits & conducting security reviews/audits and assessments on projects.Line validation testing on ISO 27001 and SAS 70 standards for IBM.Transitions of New Information Security Projects & respond to customer RFP & RFI.SpecialtiesCISACOBITISO 27001 Lead AuditorISO 27001 Lead ImplementerMCSEITILSOX ITGCs,SAS70,Internal Audits,ISO 27001 ,Infrastructure audits,Risk Managment,Vulnerability Management,"
pub-rola-talih-prince2-14-683-115,Lebanon,Banking,February 2011,"Senior, Reengineering and Project Management Unit",Bank Audi,Ernst & Young,"A Prince 2 Practitioner experienced in implementing project management guidelines and tools as well as managing projects related to various areas of process reengineering, and organizational performance improvement initiatives such as system enhancement and implementation. A certified ISO 9001 and 27001 Lead Auditor and a Quality Management Professional experienced in implementing quality management initiatives."
pub-rolando-alvarez-salgado-48-a01-625,"Naucalpan de Juárez y alrededores, México",Administración gubernamental,agosto de 2007,Abogado Fiscalista,SAT - Servicio de Administración Tributaria,Ernst & Young,"Experiencia en la elaboración de proyectos de contestación de demandas, recursos de revocación, reclamación y revisión, juicios de amparo, para defender a las diversas autoridades administrativas demandadas, informes y comunicados administrativos, gestoría y consultas fiscales."
pub-romain-tabaries-8-74a-2a7,Greater New York City Area,Financial Services,May 2012,Financial Controller,Guerlain - LVMH Perfumes & Cosmetics,Ernst & Young,Advising private equity and corporate compagnies in buy-side or sell-side operations.
pub-ron-reeves-4-414-949,Dallas/Fort Worth Area,Accounting,July 1994,Partner,Deloitte Tax LLP,Deloitte,"As a Tax Partner at Deloitte, it is my goal to bring the fullDeloitte experience to clients. My focus in the market is what we now call Deloitte Growth Enterprise Strategy. We want to bring the full complement of services available from Deloitte, that large clients expect, to middle market companies with the potential for significant growth. My own particular focus is of course in Real Estate and Mortgage Companies, but also in the O&G industry, especially midstream companies. We are helping many of these companies become PTPs using our new K1 software. Our Partnership Solutions group brings technology to many companies with multiple partnerships to get those K1 s out faster, better, and cheaper. And our TARDI software can help track mortgage pools on a loan by loan basis. Exciting stuff. And, our hedge fund/fund to fund group is taking over this area in DFW. Give us a call."
pub-ron-thompson-9-499-487,"Houston, Texas Area",Oil & Energy,2008,Director of Internal Audit,PSC ENVIRONMENTAL SERVICES,Ernst & Young,"Ron graduated from The Citadel, the Military College of South Carolina in 1992 where he earned a Bachelor of Science degree in Biology. Ron also earned a Masters in Business Administration with a concentration in Internal Audit from Louisiana State University in 2000. Ron has fifteen years of business experience including six years with Halliburton’s Internal Audit department where he conducted audits of various international and domestic business units ranging from corporate functions, service operations, and manufacturing centers. Ron’s business experience also includes over five years with Waste Management serving in various roles including several years as a Safety and Compliance Manager and as an Operations Manager."
pub-ronald-mukandi-ca-z-32-739-50,Other,Mining & Metals,October 2012,Internal Auditor,ArcelorMittal,KPMG,"A self motivated individual, who is highly analytical and pays attention to detail.Highly focused and great team player."
pub-roos-rashid-27-304-846,"Rotterdam Area, Netherlands",Management consulting,February 2011,Junior Accountmanager,ING Lease Nederland,Ernst & Young,"Financial exec with broad experience in all aspects of accounting, auditing and financial management. Direct experience with real estate, financial consulting and venture capital.My goals: Get my master degree in Law and working in a great firm."
pub-rory-bracken-30-865-3a7,Ireland,Financial Services,August 2012,Private Maths Tutor,"Dublin, Ireland",Deloitte,"Final Year BSc (Economics and Finance) student in UCD, graduating in 2012, currently on a 1.1 and specializing in finance.I hope to graduate keeping my 1.1 with a view to obtaining a graduate role with a consulting firm or a global bank."
pub-rosaestela-gomez-holguin-42-9b1-111,Perú,Administración gubernamental,junio de 2009,CAS,Indecopi,Deloitte,"Experiencia en Derecho Administrativo: procedimientos administrativos de oficio y trilaterales, Contratos Financieros, Derecho Concursal: Reconocimiento de Créditos Laborales Asimismo, experiencia en temas societarios, temas de familia y registro de signos distintivos."
pub-ross-counsell-10-399-556,United Kingdom,Real Estate,July 2012,Manager,Gateway Homes (UK) Ltd.,Deloitte,"I am highly motivated to achieve clear defined goals and objectives. I am commercially driven, a people person and have an emphasis for new business in a competitive environment."
pub-roz-adams-36-597-5b9,"Stratford-upon-Avon, Warwickshire, United Kingdom",Accounting,1993,Owner,Cooper Adams,Deloitte,"I am a Director of Cooper Adams Ltd, a firm of Chartered Accountants in Stratford upon Avon, established in 1995.Cooper Adams provides a first class service to business and personal clients, across many sectors."
